NumVertices, Density, AvgKruskalTime(ms)
58, 0.7, 0.7069826126098633
58, 0.8, 1.3595104217529297
58, 0.6, 0.7062077522277832
58, 0.4, 0.35021305084228516
58, 0.85, 0.707089900970459
20, 0.7, 0.051522254943847656
20, 0.8, 0.0
20, 0.6, 0.050008296966552734
20, 0.4, 0.049996376037597656
20, 0.85, 0.10000467300415039
30, 0.7, 0.17523765563964844
30, 0.8, 0.050258636474609375
30, 0.6, 0.10000467300415039
30, 0.4, 0.34999847412109375
30, 0.85, 0.14998912811279297
45, 0.7, 0.8251309394836426
45, 0.8, 0.2002120018005371
45, 0.6, 0.24998188018798828
45, 0.4, 0.27521848678588867
45, 0.85, 0.2770662307739258
50, 0.7, 0.4756927490234375
50, 0.8, 0.49997568130493164
50, 0.6, 0.3999471664428711
50, 0.4, 0.2637028694152832
50, 0.85, 0.5508661270141602
84, 0.7, 1.350235939025879
84, 0.8, 1.3814926147460938
84, 0.6, 1.0773897171020508
84, 0.4, 0.7405400276184082
84, 0.85, 1.269376277923584
73, 0.7, 1.0465145111083984
73, 0.8, 1.1295318603515625
73, 0.6, 0.6588578224182129
73, 0.4, 0.5214452743530273
73, 0.85, 1.0542511940002441
69, 0.7, 1.00630521774292
69, 0.8, 0.8382320404052734
69, 0.6, 0.7892131805419922
69, 0.4, 0.5561470985412598
69, 0.85, 1.0703325271606445
46, 0.7, 0.30537843704223633
46, 0.8, 0.3750920295715332
46, 0.6, 0.45615434646606445
46, 0.4, 0.20542144775390625
46, 0.85, 0.4116654396057129
24, 0.7, 0.1002192497253418
24, 0.8, 0.19997358322143555
24, 0.6, 0.049996376037597656
24, 0.4, 0.049996376037597656
24, 0.85, 0.1499772071838379
